COLOR,RULE_ID,RULE_NAME,CATEGORY,REASON,JEANNE_QUESTION
GREEN,SCH-004,BreadcrumbList Schema Missing Across Core and Outer Page Hierarchy,Schema & Structured Data,Hierarchy/navigation only; no word-count or brand conflict,
YELLOW,SCH-005,AggregateRating Schema Absent,Schema & Structured Data,Requires verified review data and business decision on source,"Do you want to require verified review data before deploying AggregateRating, and which source(s) are approved (e.g. Google Reviews only)?"
GREEN,SCH-006,VideoObject Schema Missing on Pages with Embedded Videos,Schema & Structured Data,Correct feature names; trigger and action measurable,
GREEN,SCH-007,HowTo Schema Missing on Procedural Feature and Process Pages,Schema & Structured Data,Procedural content only; correct brand terms; editorial guardrail appropriate,
GREEN,SCH-008,Existing Product Schema Present But Missing Proprietary Feature Attributes,Schema & Structured Data,Z-Frame SafeTack SafeBump SafeKick only; measurable and differentiation-focused,
GREEN,ILA-001,Core Page Link Starvation,Internal Link Architecture,Inbound-link threshold measurable; max 3 internal links per page refers to outbound so no conflict,
RED,ILA-005,Core Page Outbound Link Vacuum,Internal Link Architecture,Rule requires 5+ outbound internal links from core pages; framework allows max 3 internal links per page,
GREEN,ILA-002,Hub-and-Spoke Cluster Failure,Internal Link Architecture,Correct URL/term patterns and DDT features; trigger clear,
GREEN,ILA-003,Orphan Page Recovery,Internal Link Architecture,Measurable; supports inner linkage without exceeding 3 outbound per page,
GREEN,ILA-004,Dead-End Page Resolution,Internal Link Architecture,Requiring 2 outbound internal links keeps pages within max 3; trigger clear,
YELLOW,ILA-006,Anchor Text Monoculture,Internal Link Architecture,central_entity_count may mean anchor variants per page; needs pipeline verification,"Confirm that central_entity_count in the crawl pipeline measures distinct anchor text variants for outbound core links (not total keyword mentions) before enabling this rule."
GREEN,ILA-007,Excessive Link Depth,Internal Link Architecture,Crawl-depth threshold; no content-length or link-count conflict,
RED,KIA-01,Core Product Page Content and Entity Deficiency,Keyword & Intent Alignment,If action output instructs expanding core product pages to 800 words it contradicts product max 500.; rewrite so product-page actions never require more than 500 words,
GREEN,KIA-02,Keyword Cannibalization,Keyword & Intent Alignment,GSC + page type; no product word-count or brand conflict,
GREEN,KIA-03,Transactional Money Page Under-Targeting,Keyword & Intent Alignment,Position/CTR/impressions; no terminology or framework conflict,
GREEN,KIA-04,Intent Mismatch,Keyword & Intent Alignment,Measurable; correct exclusions for trailer/brand terms,
GREEN,KIA-05,Brand-Specific Long-Tail Keyword Gap,Keyword & Intent Alignment,Correct proprietary and long-tail terms; trigger measurable,
GREEN,KIA-06,SERP Feature and Schema Gap,Keyword & Intent Alignment,Schema + position; no product word-count requirement that breaks framework,
YELLOW,KIA-07,Informational Query Capture Gap,Keyword & Intent Alignment,Rule uses 800+ words for dedicated page; framework says outer min 1000,"For dedicated informational pages answering research queries should the minimum be 1000 words to match your outer-page standard?"
RED,DDT-EEAT-01,Core Product Pages Have Zero Indexable Content,E-E-A-T & Trust Signals,Action output ""minimum 600 words"" for core product pages contradicts Jeanne's product-page max of 500 words,
GREEN,DDT-EEAT-02,Core Product Pages Missing Product or Vehicle Schema,E-E-A-T & Trust Signals,Schema only; correct feature names; no content-length conflict,
GREEN,DDT-EEAT-03,Core Pages Missing Central Entity Signal,E-E-A-T & Trust Signals,Measurable entity check; supports first-sentence-answers-heading and entity clarity,
GREEN,DDT-EEAT-04,Organization LocalBusiness Schema Absent from Homepage and Utility Pages,E-E-A-T & Trust Signals,Entity/NAP; no invented terms or product word-count rules,
GREEN,DDT-EEAT-05,High-Word-Count Content Pages Lack Author Attribution,E-E-A-T & Trust Signals,Outer pages >500 words; author attribution is a trust signal; no product cap conflict,
YELLOW,DDT-EEAT-06,About Page Fails Minimum Expertise Depth,E-E-A-T & Trust Signals,About page minimum is 800 words; framework outer minimum is 1000,"Should the About page minimum be 1000 words to align with your outer-page standard?"
GREEN,DDT-EEAT-07,Contact and Legal Pages Below Trust Content Threshold,E-E-A-T & Trust Signals,Contact/legal thresholds; no product 500-word conflict,
GREEN,DDT-EEAT-08,Core Product Pages Lack H2-Signaled Social Proof Sections,E-E-A-T & Trust Signals,H2/schema social proof; consistent with heading and CTA intent,
GREEN,CWV-R1,Zero-Content Core Product Pages,Core Web Vitals & Performance,Zero-word core only; URL list is concrete trigger; no 800-word ask for product pages,
GREEN,CWV-R2,Hero Image LCP Failure,Core Web Vitals & Performance,Standard LCP thresholds; no content or brand conflict,
GREEN,CWV-R3,Cumulative Layout Shift Exceeding Threshold,Core Web Vitals & Performance,CLS thresholds; technical only,
GREEN,CWV-R4,INP Degradation,Core Web Vitals & Performance,INP/TBT; no framework or brand conflict,
GREEN,CWV-R5,Render-Blocking Resources Delaying First Contentful Paint,Core Web Vitals & Performance,Measurable; no content-length or terminology conflict,
GREEN,CWV-R6,Page Weight Exceeding Mobile Performance Budget,Core Web Vitals & Performance,Byte thresholds; no product/outer word-count conflict,
GREEN,CWV-R7,LCP Image Loading Attribute Penalty,Core Web Vitals & Performance,Hero lazy-load and dimensions; no framework conflict,
GREEN,CWV-R8,TTFB Exceeding Threshold,Core Web Vitals & Performance,Server response; no content or brand conflict,
RED,AIS-001,Empty Core Pages Are Invisible to All AI Citation Engines,AI Search & Citation Eligibility,Action ""publish minimum 800-word entity-anchored content"" on core product pages contradicts Jeanne's product-page max 500 words,
RED,AIS-002,Core Pages Below Depth Threshold,AI Search & Citation Eligibility,Requiring 800+ words on core product pages contradicts Jeanne's product-page max 500 words,
GREEN,AIS-003,Proprietary Brand Terms Without Definition Sentences,AI Search & Citation Eligibility,Correct definitions for Z-Frame SafeTack SafeBump SafeKick; no product 800-word requirement,
GREEN,AIS-004,Missing FAQPage Schema on Core and Utility Pages,AI Search & Citation Eligibility,Schema only; no product word-count rule,
GREEN,AIS-005,Core Pages Without Product Schema,AI Search & Citation Eligibility,Product schema; no 800-word requirement for product pages,
YELLOW,AIS-006,High-Impression GSC Queries With Thin Landing Pages,AI Search & Citation Eligibility,Expansion to 800–1500 words can apply to core (framework: product max 500) or outer (min 1000),"Should expansion targets be capped at 500 words for core product pages and at least 1000 for outer/informational pages to match your framework?"
GREEN,AIS-007,Outer Pages With No Core Page Link,AI Search & Citation Eligibility,has_core_link; supports hub-and-spoke; max 3 outbound per page still possible,
GREEN,AIS-008,No Question-Format H2 Headings,AI Search & Citation Eligibility,Supports first-sentence-answers-heading; correct DDT examples,
GREEN,ETA-001,Core Product Page Central Entity Absent,Entity & Topical Authority,Measurable; no word-count rule that contradicts framework,
GREEN,ETA-002,Proprietary Brand Terminology Drift,Entity & Topical Authority,Correctly flags Z-Bar SafeKill aluminum steel variants; protects approved terms,
RED,ETA-003,Core Page Topical Depth Deficit,Entity & Topical Authority,Requiring 800+ words on core pages contradicts product-page max 500 words,
GREEN,ETA-004,Missing Product Schema on Core Pages,Entity & Topical Authority,Schema only; no product 500-word conflict,
GREEN,ETA-005,H1-to-Entity Misalignment,Entity & Topical Authority,H1/title entity; aligns with framework heading rules,
GREEN,ETA-006,Outer Pages Without Core Entity Links,Entity & Topical Authority,Link and entity; no internal-link-cap conflict,
GREEN,ETA-007,GSC High-Impression Horse Trailer Queries Landing on Non-Core Pages,Entity & Topical Authority,GSC + page type; no product word-count conflict,
GREEN,USE-001,Core Product Page Content Void,User Signals & Engagement,Minimum 400 words is within product max 500; trigger and action consistent,
GREEN,USE-002,CTR Collapse on High-Impression Queries,User Signals & Engagement,CTR/title/meta; no content-length or brand conflict,
GREEN,USE-003,Position-Adjusted CTR Underperformance,User Signals & Engagement,Position/CTR bands; no framework conflict,
GREEN,USE-004,Bounce Rate and Dwell Time Collapse on Core Pages,User Signals & Engagement,Engagement signals; data-pipeline note is C-tier; no product 500-word conflict,
GREEN,USE-005,Engagement Decay,User Signals & Engagement,Period-over-period CTR; no terminology or word-count conflict,
GREEN,USE-006,Core Entity Absence on Indexed Product Pages,User Signals & Engagement,Entity only; no 800-word product requirement,
GREEN,USE-007,Off-Topic High-Impression Query Dilution,User Signals & Engagement,Query/page relevance; correct exclusions,
GREEN,USE-008,Title-H1 Misalignment on Core Pages,User Signals & Engagement,Coherence; supports framework heading/title alignment,
GREEN,CTA-F1,Zero-Content Core Pages Block All CTA and Conversion Infrastructure,Conversion Path & CTA,Zero content only; no 800-word product requirement,
GREEN,CTA-F2,Core Money Pages With Content Lack Quote or Contact CTA Link,Conversion Path & CTA,CTA presence; aligns with CTAs match target page search intent,
YELLOW,CTA-F3,Homepage Does Not Provide Direct Link to Quote or Build Path,Conversion Path & CTA,Configurator may be subdomain or third-party; scope ambiguous,"If the configurator lives on a subdomain or third-party embed should it be in scope for this rule and how should the crawler treat it?"
GREEN,CTA-F4,Outer Pages Contain No Link to Core Product or Quote Pages,Conversion Path & CTA,has_core_link; can be satisfied within 3 outbound links per page,
GREEN,CTA-F5,Core Pages Missing Product or Offer Schema,Conversion Path & CTA,Schema only; correct feature names,
GREEN,CTA-F6,Indexable Core Pages Fail Mobile Readiness,Conversion Path & CTA,Mobile UX; no content-length or brand conflict,
GREEN,CTA-F7,Thin-Content Core Pages With No Central Entity Reference,Conversion Path & CTA,word_count < 300 + entity; 300–500 fits product max 500,
RED,CI-01,Core Product Page Invisibility Alert,Competitive Intelligence,Action ""Expand flagged product page to minimum 600 words"" (or 800) on core product pages contradicts product max 500 words,
GREEN,CI-02,Competitor Featured Snippet Ambush,Competitive Intelligence,FAQ/HowTo and CTR; correct DDT terms,
GREEN,CI-03,SERP Position Drop Alert,Competitive Intelligence,Position monitoring; no product word-count rule,
GREEN,CI-04,Content Gap Detection,Competitive Intelligence,Content depth/entity/schema; no hard 800-word product requirement in trigger,
GREEN,CI-05,Market Share Click Erosion,Competitive Intelligence,Cluster-level GSC; no framework conflict,
GREEN,CI-06,New Competitor Domain Detection,Competitive Intelligence,SERP/competitor data; no product 500-word conflict,
GREEN,CI-07,Competitor Backlink Gap,Competitive Intelligence,Authority comparison; correct DDT angles,
RED,CF-001,Core Page Content Void,Content Freshness & Lifecycle,Action ""Build minimum 800-word page"" for core product pages contradicts Jeanne's product-page max 500 words,
GREEN,CF-002,Core Page Entity Void,Content Freshness & Lifecycle,Entity/brand terms; word_count 1–499 + has_central_entity measurable,
GREEN,CF-003,High-Impression Page Decay,Content Freshness & Lifecycle,Staleness + GSC; no product 500-word conflict,
GREEN,CF-004,Core Page Schema Gap,Content Freshness & Lifecycle,Product/FAQ schema; word_count >= 500 ceiling-consistent for product,
GREEN,CF-005,Evergreen Core Protection,Content Freshness & Lifecycle,Freshness for top-5; no product 800-word requirement,
GREEN,CF-006,Seasonal Query Opportunity,Content Freshness & Lifecycle,Seasonal queries and freshness; no terminology conflict,
GREEN,CF-007,Outer Page Internal Link Gap,Content Freshness & Lifecycle,has_core_link; can be done within 3 outbound per page,
GREEN,CF-008,H1/Title Signal Mismatch,Content Freshness & Lifecycle,Coherence; supports framework,
GREEN,DDT-LOCAL-01,Organization Schema NAP Lock,Local & Dealer SEO,NAP/entity; correct business name,
GREEN,DDT-LOCAL-02,LocalBusiness Schema Absence on Dealer and Location Pages,Local & Dealer SEO,Local entity; no product word-count conflict,
GREEN,DDT-LOCAL-03,NAP Signal Consistency,Local & Dealer SEO,Title/H1/meta geography; no framework conflict,
YELLOW,DDT-LOCAL-04,Dealer Page Content Deficiency,Local & Dealer SEO,Dealer minimum is 800 words; if dealer = outer framework suggests 1000,"Should dealer/location pages be held to the same 1000-word minimum as other outer pages?"
GREEN,DDT-LOCAL-05,sameAs Property Absent from Schema,Local & Dealer SEO,Entity merging; no invented terms,
GREEN,DDT-LOCAL-06,Local Query Impressions With No Matching Schema or Content Depth,Local & Dealer SEO,GSC + schema/depth; JOIN key note is implementation-only,
YELLOW,DDT-LOCAL-07,Service Area Signal Gap,Local & Dealer SEO,areaServed is a business/positioning decision,"What is DDT's declared service area (Wilmington/Pink Hill only NC statewide or national/Southeast) so areaServed and meta copy can be set consistently?"
GREEN,MAO-01,Image Alt Text Coverage and Brand Terminology Audit,Media & Asset Optimization,Alt and brand terms (Z-Frame SafeTack SafeBump SafeKick); measurable,
GREEN,MAO-02,Hero and Product Image File Size Audit,Media & Asset Optimization,Size/LCP; no content or brand conflict,
GREEN,MAO-03,Modern Image Format Adoption,Media & Asset Optimization,Format only; correct feature context,
GREEN,MAO-04,VideoObject Schema Missing on Pages Containing Embedded Videos,Media & Asset Optimization,Same as SCH-006 intent; correct terms,
GREEN,MAO-05,Image Sitemap Coverage Gap,Media & Asset Optimization,Discovery only; no word-count conflict,
GREEN,MAO-06,Generic Image Filename Detection,Media & Asset Optimization,Filename patterns; correct naming examples,
GREEN,MAO-07,PDF Asset SEO Deficiency,Media & Asset Optimization,PDF metadata/indexability; no product 500-word conflict,
